pathway,n_genes_pathway,n_genes_found,mean_rank,median_rank,pvalue,u_statistic,fdr_q
Nucleocytoplasmic Transport (GO:0006913),50,1,33.0,33.0,0.008367139959432049,32.0,0.4688685069230091
Nuclear Export (GO:0051168),49,1,33.0,33.0,0.008367139959432049,32.0,0.4688685069230091
Regulation Of Centriole Replication (GO:0046599),19,1,33.0,33.0,0.008367139959432049,32.0,0.4688685069230091
Nuclear Transport (GO:0051169),39,1,33.0,33.0,0.008367139959432049,32.0,0.4688685069230091
DNA Metabolic Process (GO:0006259),288,24,1418.9583333333333,1394.5,0.008453789554878915,33755.0,0.4688685069230091
Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060334),11,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Regulation Of Cholesterol Storage (GO:0010885),14,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743),30,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Negative Regulation Of Lipid Storage (GO:0010888),18,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Positive Regulation Of Cholesterol Transport (GO:0032376),31,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Positive Regulation Of Fatty Acid Metabolic Process (GO:0045923),17,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Regulation Of Fatty Acid Biosynthetic Process (GO:0042304),26,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Positive Regulation Of Cholesterol Efflux (GO:0010875),22,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Negative Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010745),12,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Regulation Of Lipid Transport (GO:0032368),10,1,35.0,35.0,0.008874239350912779,34.0,0.4688685069230091
Ribonucleoside Bisphosphate Metabolic Process (GO:0033875),25,2,264.0,264.0,0.008929476274230295,525.0,0.4688685069230091
Purine Nucleoside Bisphosphate Metabolic Process (GO:0034032),25,2,264.0,264.0,0.008929476274230295,525.0,0.4688685069230091
acyl-CoA Metabolic Process (GO:0006637),31,2,264.0,264.0,0.008929476274230295,525.0,0.4688685069230091
Camera-Type Eye Development (GO:0043010),26,4,678.25,620.5,0.009281463519321277,2703.0,0.4688685069230091
Negative Regulation Of Cell Population Proliferation (GO:0008285),379,32,1500.65625,1383.5,0.009297135848709701,47493.0,0.4688685069230091
Cellular Response To Cytokine Stimulus (GO:0071345),308,17,1326.9411764705883,1076.0,0.009577854194900004,22405.0,0.4688685069230091
Cytoskeleton Organization (GO:0007010),111,10,1130.5,644.0,0.009611248931781065,11250.0,0.4688685069230091
Regulation Of Microtubule-Based Process (GO:0032886),41,1,38.0,38.0,0.009634888438133874,37.0,0.4688685069230091
Negative Regulation Of Cell Cycle Phase Transition (GO:1901988),12,1,38.0,38.0,0.009634888438133874,37.0,0.4688685069230091
Defense Response To Gram-negative Bacterium (GO:0050829),75,5,816.2,634.0,0.009825159712932342,4066.0,0.4688685069230091
Positive Regulation Of Chemokine Production (GO:0032722),53,4,689.0,509.0,0.009885057497064973,2746.0,0.4688685069230091
Inositol Lipid-Mediated Signaling (GO:0048017),33,4,694.25,569.5,0.010190309239708912,2767.0,0.4688685069230091
Defense Response To Bacterium (GO:0042742),204,11,1180.4545454545455,634.0,0.010441914254647165,12919.0,0.4688685069230091
RNA Catabolic Process (GO:0006401),57,6,921.8333333333334,977.5,0.010456163565655364,5510.0,0.4688685069230091
Cellular Component Assembly (GO:0022607),260,18,1355.111111111111,1364.5,0.01056894199351095,24221.0,0.4688685069230091
Fatty Acid Homeostasis (GO:0055089),10,1,42.0,42.0,0.010649087221095335,41.0,0.4688685069230091
"Base-Excision Repair, Gap-Filling (GO:0006287)",12,1,42.0,42.0,0.010649087221095335,41.0,0.4688685069230091
Translesion Synthesis (GO:0019985),23,1,42.0,42.0,0.010649087221095335,41.0,0.4688685069230091
Protein Homotrimerization (GO:0070207),14,3,538.6666666666666,435.0,0.011420226824441585,1610.0,0.4886570294739935
Protein Trimerization (GO:0070206),14,3,538.6666666666666,435.0,0.011420226824441585,1610.0,0.4886570294739935
Regulation Of DNA Recombination (GO:0000018),44,2,304.5,304.5,0.011885391164870194,606.0,0.4972719336534265
Membrane Protein Proteolysis (GO:0033619),34,6,942.8333333333334,741.0,0.011956983911354156,5636.0,0.4972719336534265
Regulation Of Cholesterol Transport (GO:0032374),23,2,311.0,311.0,0.012399049539096424,619.0,0.4972719336534265
Regulation Of Cholesterol Efflux (GO:0010874),32,2,311.0,311.0,0.012399049539096424,619.0,0.4972719336534265
Negative Regulation Of Protein Modification Process (GO:0031400),78,4,736.0,508.0,0.012876418973411366,2934.0,0.4972719336534265
Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043),21,1,51.0,51.0,0.01293103448275862,50.0,0.4972719336534265
Plasma Membrane Tubulation (GO:0097320),13,1,51.0,51.0,0.01293103448275862,50.0,0.4972719336534265
Positive Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051044),14,1,51.0,51.0,0.01293103448275862,50.0,0.4972719336534265
Regulation Of Organelle Organization (GO:0033043),100,4,741.5,110.0,0.013266250715779141,2956.0,0.5007475586145747
Defense Response To Gram-positive Bacterium (GO:0050830),85,6,960.5,651.0,0.013351070522640075,5742.0,0.5007475586145747
Eye Development (GO:0001654),58,7,1037.2857142857142,623.0,0.013707242701767217,7233.0,0.5078366259508391
Mitotic Sister Chromatid Cohesion (GO:0007064),19,4,751.75,544.5,0.014016298488761715,2997.0,0.5130302989019047
Regulation Of Immune Response (GO:0050776),77,4,768.0,682.0,0.015270019458335032,3062.0,0.552265703743117
Cell Morphogenesis Involved In Differentiation (GO:0000904),24,4,791.75,565.0,0.01725136578357362,3157.0,0.6165841088293724
Cellular Response To Oxygen-Containing Compound (GO:1901701),406,35,1569.142857142857,1224.0,0.017647642074796632,54290.0,0.6234132165492112
Protein Autophosphorylation (GO:0046777),162,18,1414.5555555555557,1492.5,0.01860195024656401,25291.0,0.6422826818272698
Negative Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050732),30,2,381.5,381.5,0.018668794006272953,760.0,0.6422826818272698
Surfactant Homeostasis (GO:0043129),10,2,383.0,383.0,0.01881604959928473,763.0,0.6422826818272698
Positive Regulation Of Inflammatory Response (GO:0050729),104,8,1146.75,1297.5,0.019211595962061054,9138.0,0.6440053374308037
DNA Damage Response (GO:0006974),384,34,1570.264705882353,1508.5,0.019290482457604716,52794.0,0.6440053374308037
Endoplasmic Reticulum Mannose Trimming (GO:1904380),13,1,78.0,78.0,0.019776876267748503,77.0,0.6460446247464511
"Protein Alpha-1,2-Demannosylation (GO:0036508)",16,1,78.0,78.0,0.019776876267748503,77.0,0.6460446247464511
Regulation Of Endopeptidase Activity (GO:0052548),69,4,823.0,800.0,0.02014486880633633,3282.0,0.6510650152515934
Negative Regulation Of Cytoskeleton Organization (GO:0051494),28,7,1102.857142857143,1178.0,0.020683520322456905,7692.0,0.6614372077855166
Myelination (GO:0042552),48,4,832.75,620.5,0.02111793859924777,3321.0,0.6624659325076335
Negative Regulation Of Rho Protein Signal Transduction (GO:0035024),17,1,85.0,85.0,0.02155172413793107,84.0,0.6624659325076335
Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901532),17,4,840.5,664.0,0.021916212789764317,3352.0,0.6624659325076335
Plasma Membrane Organization (GO:0007009),72,5,961.6,1031.0,0.022309770968837007,4793.0,0.6624659325076335
Regulation Of Synapse Organization (GO:0050807),25,2,417.5,417.5,0.022363430404563196,832.0,0.6624659325076335
Negative Regulation Of JUN Kinase Activity (GO:0043508),12,1,89.0,89.0,0.022565922920892538,88.0,0.6624659325076335
Granulocyte Chemotaxis (GO:0071621),73,3,676.3333333333334,203.0,0.02262600474534836,2023.0,0.6624659325076335
Chromatin Organization (GO:0006325),268,21,1478.3809523809523,1283.0,0.02308778865558401,30815.0,0.6624659325076335
Regulation Of DNA Strand Elongation (GO:0060382),16,1,93.0,93.0,0.023580121703854005,92.0,0.6624659325076335
Positive Regulation Of Telomere Maintenance In Response To DNA Damage (GO:1904507),14,1,93.0,93.0,0.023580121703854005,92.0,0.6624659325076335
Regulation Of Telomere Maintenance In Response To DNA Damage (GO:1904505),15,1,93.0,93.0,0.023580121703854005,92.0,0.6624659325076335
Negative Regulation Of Protein Kinase Activity (GO:0006469),88,7,1126.5714285714287,813.0,0.02381764084725563,7858.0,0.6624659325076335
Negative Regulation Of Calcium Ion Transport (GO:0051926),17,3,694.3333333333334,168.0,0.024483371947335353,2077.0,0.6624659325076335
mRNA Splice Site Recognition (GO:0006376),29,3,697.0,758.0,0.024766892085437996,2085.0,0.6624659325076335
Regulation Of Osteoblast Proliferation (GO:0033688),16,2,439.5,439.5,0.024785366935216283,876.0,0.6624659325076335
Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114),27,4,871.0,604.5,0.02527952023921303,3474.0,0.6624659325076335
Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),111,7,1138.0,1156.0,0.025457764359374722,7938.0,0.6624659325076335
ATP Metabolic Process (GO:0046034),34,1,101.0,101.0,0.02560851926977694,100.0,0.6624659325076335
Proton Motive Force-Driven ATP Synthesis (GO:0015986),60,6,1076.1666666666667,810.5,0.026047848736778116,6436.0,0.6624659325076335
Negative Regulation Of Endocytosis (GO:0045806),33,3,711.3333333333334,51.0,0.026328377658264155,2128.0,0.6624659325076335
Negative Regulation Of Transport (GO:0051051),39,3,711.3333333333334,51.0,0.026328377658264155,2128.0,0.6624659325076335
Mucosal Immune Response (GO:0002385),28,3,713.3333333333334,804.0,0.026551340985441485,2134.0,0.6624659325076335
Amyloid Precursor Protein Metabolic Process (GO:0042982),17,2,456.0,456.0,0.02668348509876284,909.0,0.6624659325076335
Positive Regulation Of Cellular Senescence (GO:2000774),10,1,106.0,106.0,0.026876267748478774,105.0,0.6624659325076335
3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427),15,1,107.0,107.0,0.02712981744421914,106.0,0.6624659325076335
Purine Ribonucleoside Bisphosphate Metabolic Process (GO:0034035),13,1,107.0,107.0,0.02712981744421914,106.0,0.6624659325076335
Ethanol Metabolic Process (GO:0006067),14,1,107.0,107.0,0.02712981744421914,106.0,0.6624659325076335
Cellular Response To Organic Cyclic Compound (GO:0071407),152,18,1458.5,1275.5,0.027466199901893137,26082.0,0.6624659325076335
Protein Insertion Into Mitochondrial Inner Membrane (GO:0045039),12,4,892.0,723.0,0.027810483710013184,3558.0,0.6624659325076335
Regulation Of JNK Cascade (GO:0046328),110,8,1206.625,1093.5,0.027924582263579634,9617.0,0.6624659325076335
Regulation Of Lymphocyte Differentiation (GO:0045619),19,2,466.5,466.5,0.02792789131534097,930.0,0.6624659325076335
Phagocytosis (GO:0006909),69,2,469.5,469.5,0.028288635366343618,936.0,0.6624659325076335
Positive Regulation Of Triglyceride Biosynthetic Process (GO:0010867),11,2,474.0,474.0,0.028834059794258852,945.0,0.6624659325076335
Positive Regulation Of Lipid Biosynthetic Process (GO:0046889),39,2,474.0,474.0,0.028834059794258852,945.0,0.6624659325076335
Regulation Of Triglyceride Biosynthetic Process (GO:0010866),16,2,474.0,474.0,0.028834059794258852,945.0,0.6624659325076335
Positive Regulation Of Triglyceride Metabolic Process (GO:0090208),18,2,474.0,474.0,0.028834059794258852,945.0,0.6624659325076335
Positive Regulation Of ERBB Signaling Pathway (GO:1901186),24,3,741.0,1012.0,0.029765998026422477,2217.0,0.6624659325076335
Negative Regulation Of Interleukin-8 Production (GO:0032717),17,2,486.0,486.0,0.03031407495965582,969.0,0.6624659325076335
Nucleobase-Containing Compound Catabolic Process (GO:0034655),44,2,488.0,488.0,0.030564345164023437,973.0,0.6624659325076335
Cellular Response To Oxidative Stress (GO:0034599),117,11,1331.090909090909,1007.0,0.03069283701701651,14576.0,0.6624659325076335
Positive Regulation Of Phosphoprotein Phosphatase Activity (GO:0032516),18,3,752.6666666666666,523.0,0.031195835417606822,2252.0,0.6624659325076335
Cytosolic Transport (GO:0016482),127,12,1363.0,1375.5,0.031660716654468284,16278.0,0.6624659325076335
Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),46,7,1177.7142857142858,1178.0,0.03186664699409807,8216.0,0.6624659325076335
Phagolysosome Assembly (GO:0001845),14,1,126.0,126.0,0.03194726166328611,125.0,0.6624659325076335
Natural Killer Cell Activation Involved In Immune Response (GO:0002323),22,1,126.0,126.0,0.03194726166328611,125.0,0.6624659325076335
Natural Killer Cell Mediated Cytotoxicity (GO:0042267),24,1,126.0,126.0,0.03194726166328611,125.0,0.6624659325076335
Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070302),11,1,127.0,127.0,0.03220081135902648,126.0,0.6624659325076335
Positive Regulation Of Telomere Capping (GO:1904355),16,1,127.0,127.0,0.03220081135902648,126.0,0.6624659325076335
Positive Regulation Of Telomerase Activity (GO:0051973),33,1,127.0,127.0,0.03220081135902648,126.0,0.6624659325076335
Hematopoietic Stem Cell Proliferation (GO:0071425),10,2,501.0,501.0,0.03221617995585162,999.0,0.6624659325076335
Phosphatidylinositol-Mediated Signaling (GO:0048015),62,5,1036.6,614.0,0.03239893256647397,5168.0,0.6624659325076335
Interstrand Cross-Link Repair (GO:0036297),36,9,1272.888888888889,938.0,0.03250584101342384,11411.0,0.6624659325076335
Regulation Of Chemokine Production (GO:0032642),41,5,1037.4,537.0,0.03252275689553218,5172.0,0.6624659325076335
Neuromuscular Process (GO:0050905),18,3,766.0,1017.0,0.03288516526745183,2292.0,0.6624659325076335
Regulation Of Smooth Muscle Cell Proliferation (GO:0048660),54,7,1183.7142857142858,688.0,0.03293628052171872,8258.0,0.6624659325076335
Spliceosomal Complex Assembly (GO:0000245),62,6,1122.6666666666667,818.5,0.033259691268463475,6715.0,0.6624659325076335
Regulation Of Axon Extension (GO:0030516),35,2,510.0,510.0,0.033385222174608875,1017.0,0.6624659325076335
Phosphatidylinositol Metabolic Process (GO:0046488),63,4,934.25,876.5,0.03347347516301094,3727.0,0.6624659325076335
Negative Regulation Of Osteoblast Differentiation (GO:0045668),32,4,935.0,777.5,0.033581222385179584,3730.0,0.6624659325076335
Negative Regulation Of Protein Tyrosine Kinase Activity (GO:0061099),23,1,135.0,135.0,0.03422920892494941,134.0,0.666851122804853
Negative Regulation Of Stem Cell Differentiation (GO:2000737),12,2,516.5,516.5,0.03424251980169752,1030.0,0.666851122804853
Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427),42,6,1130.8333333333333,1180.0,0.03467205243258509,6764.0,0.6670822079347529
Positive Regulation Of Telomere Maintenance (GO:0032206),52,4,945.25,123.0,0.035079993498309016,3771.0,0.6670822079347529
Cell-Cell Signaling By Wnt (GO:0198738),23,3,782.6666666666666,73.0,0.035081201737151374,2342.0,0.6670822079347529
Response To Tumor Necrosis Factor (GO:0034612),108,7,1195.5714285714287,1076.0,0.03513270351203439,8341.0,0.6670822079347529
Cellular Response To Light Stimulus (GO:0071482),65,5,1058.6,765.0,0.03593828798114209,5278.0,0.674734729947994
Positive Regulation Of Signaling (GO:0023056),37,3,793.0,1034.0,0.03649065121745463,2373.0,0.674734729947994
Positive Regulation Of Cell Communication (GO:0010647),30,3,793.0,1034.0,0.03649065121745463,2373.0,0.674734729947994
Activation Of GTPase Activity (GO:0090630),102,10,1327.7,776.0,0.036499335283011594,13222.0,0.674734729947994
Negative Regulation Of Cell Death (GO:0060548),64,5,1062.8,1031.0,0.03664622463509513,5299.0,0.674734729947994
Negative Regulation Of Leukocyte Activation (GO:0002695),17,2,541.0,541.0,0.037571396456297354,1079.0,0.6872839211019234
Brain Morphogenesis (GO:0048854),11,2,542.5,542.5,0.03778025504411494,1082.0,0.6872839211019234
RNA Processing (GO:0006396),183,16,1468.5625,1531.0,0.03805269273002586,23361.0,0.6881195268679675
Positive Regulation Of Protein Localization (GO:1903829),85,5,1073.8,919.0,0.03855062125729239,5354.0,0.688656514832466
Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),55,2,549.5,549.5,0.038762430558377775,1096.0,0.688656514832466
Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),65,2,549.5,549.5,0.038762430558377775,1096.0,0.688656514832466
Protein Phosphorylation (GO:0006468),500,40,1658.15,1563.0,0.039643035540271904,65506.0,0.7002066393682909
Activation Of Phospholipase C Activity (GO:0007202),27,2,558.0,558.0,0.03997198414115137,1113.0,0.7019357677503922
Triglyceride Metabolic Process (GO:0006641),45,2,562.0,562.0,0.04054763133269784,1121.0,0.7027443098321616
Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512),77,4,988.25,889.5,0.04192085750397598,3943.0,0.7027443098321616
Purine Ribonucleotide Metabolic Process (GO:0009150),84,5,1093.0,479.0,0.04205309696822351,5450.0,0.7027443098321616
Histone H3-K4 Methylation (GO:0051568),26,4,990.25,895.5,0.04226163258684287,3951.0,0.7027443098321616
Mitotic Recombination (GO:0006312),14,2,574.0,574.0,0.04229926554826151,1145.0,0.7027443098321616
Protein Autoprocessing (GO:0016540),18,1,167.0,167.0,0.04234279918864115,166.0,0.7027443098321616
Negative Regulation Of Interleukin-1 Beta Production (GO:0032691),26,1,168.0,168.0,0.04259634888438152,167.0,0.7027443098321616
Negative Regulation Of Interleukin-1 Production (GO:0032692),30,1,168.0,168.0,0.04259634888438152,167.0,0.7027443098321616
Positive Regulation Of Organelle Organization (GO:0010638),34,2,576.5,576.5,0.0426688835170963,1150.0,0.7027443098321616
Positive Regulation Of Secretion By Cell (GO:1903532),73,4,993.25,1242.0,0.04277668523365634,3963.0,0.7027443098321616
Negative Regulation Of Intracellular Signal Transduction (GO:1902532),231,24,1575.125,1332.0,0.04319312216453075,37503.0,0.7027443098321616
Stress-Activated Protein Kinase Signaling Cascade (GO:0031098),20,3,840.6666666666666,127.0,0.043482176823827795,2516.0,0.7027443098321616
Cellular Component Disassembly (GO:0022411),46,4,998.25,148.5,0.04364554811277829,3983.0,0.7027443098321616
Extracellular Matrix Disassembly (GO:0022617),44,4,998.25,148.5,0.04364554811277829,3983.0,0.7027443098321616
"Synaptic Transmission, Cholinergic (GO:0007271)",16,2,585.0,585.0,0.04393746794457941,1167.0,0.7027443098321616
Cellular Response To ATP (GO:0071318),14,4,1000.5,984.0,0.04404082304152483,3992.0,0.7027443098321616
Excitatory Postsynaptic Potential (GO:0060079),18,5,1104.4,694.0,0.044242978392612556,5507.0,0.7027443098321616
Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742),33,4,1003.25,1095.0,0.04452757311455332,4003.0,0.7027443098321616
Negative Regulation Of Endopeptidase Activity (GO:0010951),66,3,849.0,855.0,0.04478943256883525,2541.0,0.7027443098321616
tRNA Wobble Base Modification (GO:0002097),15,1,177.0,177.0,0.04487829614604482,176.0,0.7027443098321616
tRNA Wobble Uridine Modification (GO:0002098),15,1,177.0,177.0,0.04487829614604482,176.0,0.7027443098321616
Ruffle Organization (GO:0031529),16,3,851.0,454.0,0.04510702449548108,2547.0,0.7027443098321616
Transcription By RNA Polymerase II (GO:0006366),192,18,1520.2222222222222,1328.0,0.045618230273888345,27193.0,0.703593683204351
Positive Regulation Of Response To External Stimulus (GO:0032103),155,12,1418.1666666666667,1683.5,0.04562473850930123,16940.0,0.703593683204351
Positive Regulation Of Osteoblast Differentiation (GO:0045669),44,4,1011.25,758.0,0.04596650155453447,4035.0,0.7050837135844318
Positive Regulation Of JNK Cascade (GO:0046330),77,6,1189.3333333333333,1093.5,0.04618553620911847,7115.0,0.7050837135844318
Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),152,9,1335.4444444444443,1528.0,0.0464612899778682,11974.0,0.705746994763818
Negative Regulation Of Protein Phosphorylation (GO:0001933),149,10,1373.3,1338.5,0.04785269292613653,13678.0,0.7134549441401103
Negative Regulation Of JNK Cascade (GO:0046329),34,3,868.6666666666666,203.0,0.047977868751555484,2600.0,0.7134549441401103
Cellular Response To Reactive Oxygen Species (GO:0034614),73,11,1402.0,1007.0,0.04806800253980896,15356.0,0.7134549441401103
Apoptotic Process (GO:0006915),228,13,1452.1538461538462,961.0,0.04944676990285405,18787.0,0.7134549441401103
Establishment Of Protein Localization To Organelle (GO:0072594),85,4,1032.25,563.5,0.049909161243536414,4119.0,0.7134549441401103
Import Into Nucleus (GO:0051170),74,4,1032.25,563.5,0.049909161243536414,4119.0,0.7134549441401103
Protein Import Into Nucleus (GO:0006606),79,4,1032.25,563.5,0.049909161243536414,4119.0,0.7134549441401103
Histone Lysine Methylation (GO:0034968),32,5,1132.2,456.0,0.049940362816570605,5646.0,0.7134549441401103
Self Proteolysis (GO:0097264),11,1,198.0,198.0,0.050202839756592524,197.0,0.7134549441401103
Cellular Response To Amino Acid Starvation (GO:0034198),42,5,1135.6,652.0,0.05067280829643803,5663.0,0.7134549441401103
Response To Amino Acid Starvation (GO:1990928),41,5,1135.6,652.0,0.05067280829643803,5663.0,0.7134549441401103
Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),14,2,628.5,628.5,0.05072074217847737,1254.0,0.7134549441401103
Lipoprotein Catabolic Process (GO:0042159),10,1,202.0,202.0,0.05121703853955399,201.0,0.7134549441401103
Protein Deacylation (GO:0035601),20,1,202.0,202.0,0.05121703853955399,201.0,0.7134549441401103
Eosinophil Chemotaxis (GO:0048245),24,1,203.0,203.0,0.05147058823529436,202.0,0.7134549441401103
Eosinophil Migration (GO:0072677),24,1,203.0,203.0,0.05147058823529436,202.0,0.7134549441401103
Positive Regulation Of Phospholipase C Activity (GO:0010863),36,3,896.3333333333334,591.0,0.05271433780974905,2683.0,0.7134549441401103
Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224),53,4,1046.5,1142.5,0.052724382489211394,4176.0,0.7134549441401103
Regulation Of NIK/NF-kappaB Signaling (GO:1901222),83,4,1046.5,1142.5,0.052724382489211394,4176.0,0.7134549441401103
Spliceosomal tri-snRNP Complex Assembly (GO:0000244),13,2,642.0,642.0,0.05292481759597592,1281.0,0.7134549441401103
Spliceosomal snRNP Assembly (GO:0000387),37,2,642.0,642.0,0.05292481759597592,1281.0,0.7134549441401103
"Retrograde Transport, Endosome To Golgi (GO:0042147)",94,9,1359.5555555555557,1411.0,0.05298426397601193,12191.0,0.7134549441401103
Eye Morphogenesis (GO:0048592),19,2,645.0,645.0,0.05342098534954748,1287.0,0.7134549441401103
ATP Biosynthetic Process (GO:0006754),25,5,1150.2,1015.0,0.05390860238071803,5736.0,0.7134549441401103
Filopodium Assembly (GO:0046847),17,1,213.0,213.0,0.054006085192698026,212.0,0.7134549441401103
protein-DNA Complex Organization (GO:0071824),60,3,904.3333333333334,276.0,0.05413977660894418,2707.0,0.7134549441401103
Lysosome Organization (GO:0007040),43,8,1325.5,1395.5,0.05435451705333097,10568.0,0.7134549441401103
Protein Transport (GO:0015031),313,28,1628.5714285714287,1674.0,0.05437081174190502,45194.0,0.7134549441401103
Regulation Of Chromosome Organization (GO:0033044),43,2,651.5,651.5,0.054503989147584316,1300.0,0.7134549441401103
Positive Regulation Of Cyclase Activity (GO:0031281),13,3,907.6666666666666,1141.0,0.05474121303082429,2717.0,0.7134549441401103
