Rank,Gene_Symbol,N_Variants,Total_PP,Composite_Score,DNase_Score,ATAC_Score,CAGE_Score,RNA_Score,PROCAP_Score,Splice_Score,Empirical_Z,P_value,FDR_Q,Has_Brain_eQTL,Brain_eQTL_Tissues,Min_eQTL_Qval
101,YPEL3-DT,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,True,6,0.000008
102,TAOK2,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,3,0.007082
103,CDIPT,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,5,0.000000
104,ENSG00000290693,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
105,HIRIP3,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,1,0.019623
106,ENSG00000278887,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
107,KCTD13,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,2,0.012392
108,ASPHD1,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,6,0.000015
109,ENSG00000261367,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,True,2,0.000000
110,PLA2G10JP,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
111,INO80E,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,12,0.000000
112,SLX1A,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,4,0.003285
113,MVP-DT,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
114,KIF22,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,1,0.040419
115,KCTD13-DT,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,True,1,0.038183
116,ENSG00000280893,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,False,0,1.000000
117,PRRT2,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,2,0.000000
118,C16orf92,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,1,0.014393
119,ENSG00000280607,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
120,SEZ6L2,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,4,0.000000
121,ENSG00000274904,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
122,BOLA2B,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,False,0,1.000000
123,TLCD3B,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,2,0.001925
124,CORO1A-AS1,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,,,,False,0,1.000000
125,GDPD3,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,12,0.000000
126,ALDOA,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,True,1,0.015414
127,ZG16,36,1.000000,0.421550,0.334720,0.246425,0.216792,0.213996,-0.125010,1.642377,7.152080,0.005412,0.070058,False,0,1.000000
128,CAPN1-AS1,9,0.606835,0.384060,0.524620,0.900146,-0.061200,-0.297045,0.560183,0.677656,,,,False,0,1.000000
129,ENSG00000293278,9,0.606835,0.384060,0.524620,0.900146,-0.061200,-0.297045,0.560183,0.677656,,,,False,0,1.000000
130,ENSG00000268595,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
131,SIGLEC18P,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,True,1,0.000000
132,KLK7,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,7,0.000000
133,KLK5,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,5,0.000000
134,ENSG00000268906,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
135,ENSG00000290859,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
136,ENSG00000268652,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
137,SIGLEC24P,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
138,SIGLEC21P,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
139,SIGLEC20P,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
140,KLK11,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
141,KLK4,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,2,0.014442
142,LINC01872,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
143,KLK13,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
144,KLK10,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,12,0.000000
145,ENSG00000269741,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
146,SMIM47,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
147,KLK2,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
148,SNORD88B,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
149,SIGLECL1,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
150,KLK3,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
151,KLK1,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
152,SNORD88A,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
153,CTU1,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,8,0.000000
154,TMEM277P,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
155,SIGLEC7,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,8,0.000004
156,ENSG00000269681,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
157,SIGLEC22P,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
158,ENSG00000268390,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
159,ENSG00000279676,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
160,KLK6,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,1,0.014764
161,KLK14,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,4,0.000001
162,ENSG00000268375,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
163,ENSG00000267879,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,True,1,0.001177
164,SIGLEC17P,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,True,2,0.018090
165,MIR8074,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
166,PPIAP59,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
167,ENSG00000284711,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
168,C19orf48P,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
169,ENSG00000267968,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
170,SIGLEC9,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,4,0.000000
171,KLK15,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
172,KLK12,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
173,CD33,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,3,0.002958
174,KLK9,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,False,0,1.000000
175,ENSG00000269495,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
176,SNORD88C,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
177,KLK8,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,1,0.024475
178,ENSG00000269072,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
179,ACP4,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,6.511257,0.006765,0.070058,True,2,0.000276
180,ENSG00000267990,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
181,ENSG00000267895,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
182,KLKP1,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
183,ENSG00000268739,2,1.000000,0.383989,0.654932,0.452256,0.285093,0.366759,0.646817,-0.101926,,,,False,0,1.000000
184,CAPN1,11,0.651931,0.375765,0.490321,0.857182,0.018696,-0.265315,0.533369,0.620339,6.370966,0.006916,0.070058,True,4,0.000420
185,SLC22A20P,11,0.651931,0.375765,0.490321,0.857182,0.018696,-0.265315,0.533369,0.620339,,,,True,7,0.000000
186,ENSG00000293475,12,0.662467,0.371322,0.481049,0.841315,0.023280,-0.261557,0.535775,0.608073,,,,False,0,1.000000
187,ENSG00000289181,8,0.108814,0.360393,0.341505,0.406208,0.562582,0.390998,-0.068937,0.530003,,,,False,0,1.000000
188,ABHD17A,18,0.320203,0.349476,0.122044,0.086602,-0.038077,0.062818,0.157963,1.705503,5.922442,0.007968,0.070058,True,2,0.015692
189,ENSG00000287152,4,0.003413,0.328985,0.855069,0.436386,0.218180,-0.009164,0.624381,-0.150944,,,,False,0,1.000000
190,VEZT,18,1.000000,0.328519,-0.038121,0.056858,0.468741,-0.147578,-0.057308,1.688523,5.564910,0.008269,0.070058,True,8,0.000024
191,RNU6-808P,18,1.000000,0.328519,-0.038121,0.056858,0.468741,-0.147578,-0.057308,1.688523,,,,False,0,1.000000
192,ENSG00000289437,18,1.000000,0.328519,-0.038121,0.056858,0.468741,-0.147578,-0.057308,1.688523,,,,True,1,0.043871
193,ENSG00000289476,18,1.000000,0.328519,-0.038121,0.056858,0.468741,-0.147578,-0.057308,1.688523,,,,False,0,1.000000
194,ENSG00000237774,18,1.000000,0.328519,-0.038121,0.056858,0.468741,-0.147578,-0.057308,1.688523,,,,False,0,1.000000
