Pathway,n_genes,p_val,mean_score,median_score,stat,FDR,Modality
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,2.169690638518596e-05,-0.0026294302692259,-0.0162557086065389,173005.0,0.0071072182326697,CAGE
DNA Damage Checkpoint Signaling (GO:0000077),34,2.5855916670054325e-05,0.006948719980592,-0.0162557086065389,355374.0,0.0071072182326697,CAGE
Skeletal Muscle Organ Development (GO:0060538),34,2.615832989572971e-05,0.0700809934186203,-0.0162557086065389,355357.0,0.0071072182326697,CAGE
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,3.874315830225015e-05,-0.0077981889365693,-0.0162557086065389,182650.0,0.0095695601006557,CAGE
Positive Regulation Of DNA Replication (GO:0045740),18,7.039003217091937e-05,-0.0024969781285019,-0.0162557086065389,192204.0,0.0155580468376098,CAGE
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,7.444041549095616e-05,-0.0147807004641974,-0.0162557086065389,192141.0,0.0155580468376098,CAGE
RNA Destabilization (GO:0050779),19,0.0001021644272458,0.109225006556941,-0.0162557086065389,201950.0,0.019827196344793,CAGE
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.0001635492652629,0.1404297449290307,-0.0162557086065389,211528.0,0.0296242235812883,CAGE
DNA Integrity Checkpoint Signaling (GO:0031570),42,0.0002284443199234,0.0025288288211385,-0.0162557086065389,431922.0,0.0384587665772596,CAGE
Positive Regulation Of Vacuole Organization (GO:0044090),21,0.0002454653620274,0.1090123462486858,-0.0162557086065389,221132.0,0.0384587665772596,CAGE
Positive Regulation Of Translational Initiation (GO:0045948),21,0.0002547875592162,0.0255247639543608,-0.0162557086065389,221083.0,0.0384587665772596,CAGE
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.0002713348732705,-0.0094091450641825,-0.0162557086065389,221000.0,0.0388008868776847,CAGE
Cell-Cell Junction Assembly (GO:0007043),70,0.0003003258374793,0.1601082721420392,-0.0162557086065389,709076.0,0.0407992650215758,CAGE
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),22,0.0003512757750483,0.317357557267157,-0.0162557086065389,230751.0,0.0430906346294856,CAGE
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.0003647716586228,0.1261856127894335,-0.0162557086065389,230699.0,0.0430906346294856,CAGE
Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143),22,0.0003647716586228,0.0720057539324359,-0.0162557086065389,230699.0,0.0430906346294856,CAGE
Regulation Of Lysosomal Lumen pH (GO:0035751),23,0.0005066178496923,0.1771528496878643,-0.0162557086065389,240314.0,0.0562550800531959,CAGE
Regulation Of mRNA Catabolic Process (GO:0061013),46,0.0005328244172425,0.0355761876414299,-0.0162557086065389,470093.0,0.0562550800531959,CAGE
Stress Granule Assembly (GO:0034063),23,0.0005383261249109,0.0156844294100332,-0.0162557086065389,240226.0,0.0562550800531959,CAGE
Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),25,0.0009599697525025,0.0614143784277589,-0.0162557086065389,259448.0,0.0966014006499813,CAGE
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),25,0.0010076663198832,-0.0058061160275059,-0.0162557086065389,259371.0,0.0977796211115284,CAGE
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),25,0.0010615076836365,-0.0094642911573474,-0.0162557086065389,259288.0,0.0994522888427726,CAGE
Regulation Of Cell Development (GO:0060284),51,0.0011416797357118,0.0484032436399074,-0.0162557086065389,518039.0,0.103398128064302,CAGE
Positive Regulation Of Adenylate Cyclase Activity (GO:0045762),26,0.0012664821947914,0.0717976374795372,-0.0162557086065389,269024.0,0.1079882413061471,CAGE
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),26,0.0012718526764065,0.0444880245317507,-0.0162557086065389,269017.0,0.1079882413061471,CAGE
Cellular Response To Ionizing Radiation (GO:0071479),52,0.0013779618428679,-0.0050040214618064,-0.0162557086065389,527501.0,0.1134521917294594,CAGE
Vacuolar Acidification (GO:0007035),27,0.0015991751101586,0.1484997299405453,-0.0162557086065389,278640.0,0.1277929051264992,CAGE
Clathrin-Dependent Endocytosis (GO:0072583),27,0.0017213088494469,0.1266117535061436,-0.0162557086065389,278513.0,0.1336227469699232,CAGE
Eye Development (GO:0001654),55,0.0020254355429767,0.0331560654884348,-0.0162557086065389,556225.0,0.1528641213963258,CAGE
Positive Regulation Of Calcium Ion Transport (GO:0051928),28,0.0022125484491177,0.0577414508631731,-0.0162557086065389,288062.0,0.162472814493325,CAGE
Regulation Of Calcium Ion Transport (GO:0051924),56,0.0024026404922258,0.0360781245396009,-0.0162557086065389,565666.0,0.1717887951941475,CAGE
Signal Transduction In Response To DNA Damage (GO:0042770),57,0.0026534422248624,-0.0024144705019344,-0.0162557086065389,575277.0,0.1843991546491669,CAGE
Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),29,0.0027619266128529,0.0307053441006848,-0.0162557086065389,297633.0,0.1843991546491669,CAGE
Regulation Of Muscle Contraction (GO:0006937),29,0.002782615141927,-0.0139798166892815,-0.0162557086065389,297619.0,0.1843991546491669,CAGE
Selective Autophagy (GO:0061912),58,0.0028978420637737,0.0468289181409528,-0.0162557086065389,584908.0,0.1874627830303177,CAGE
Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),58,0.0031734539511944,-0.0137185395174759,-0.0162557086065389,584665.0,0.200518008962681,CAGE
Negative Regulation Of DNA Biosynthetic Process (GO:2000279),31,0.0041539084197338,-0.0107787590507393,-0.0162557086065389,316759.0,0.2565038449185675,CAGE
Regulation Of Translational Initiation (GO:0006446),64,0.0055118890023521,0.0668747116844885,-0.0162557086065389,642170.0,0.3263229074868151,CAGE
Regulation Of Lamellipodium Assembly (GO:0010591),33,0.0055247897476604,0.0177948191963525,-0.0162557086065389,336042.0,0.3263229074868151,CAGE
Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),33,0.005739089369932,0.0721307610283103,-0.0162557086065389,335960.0,0.3317682088958587,CAGE
Regulation Of Metal Ion Transport (GO:0010959),34,0.0063611759206616,0.0699330471590007,-0.0162557086065389,345659.0,0.3505558881985967,CAGE
Adherens Junction Organization (GO:0034332),34,0.0064390450148038,0.1769968199045762,-0.0162557086065389,345632.0,0.3505558881985967,CAGE
Embryonic Limb Morphogenesis (GO:0030326),34,0.006544181878001,-0.0026985119599248,-0.0162557086065389,345596.0,0.3505558881985967,CAGE
Reticulophagy (GO:0061709),16,6.741852227588766e-11,0.8304786779510046,-0.0370925028034754,183000.0,1.8317612502358677e-07,CTCF
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,3.411386104489875e-10,0.2261455267219472,-0.0370925028034754,192445.0,4.634368022949497e-07,CTCF
Regulation Of Smooth Muscle Contraction (GO:0006940),20,9.062737622993722e-09,0.8108419875137762,-0.0370925028034754,221280.0,8.207819373891314e-06,CTCF
Negative Regulation Of Immune Effector Process (GO:0002698),15,9.17997131036835e-06,0.230902857045463,-0.0370925028034754,163549.0,0.0062354955125677,CTCF
Organelle Disassembly (GO:1903008),54,1.575458695482263e-05,0.2235746722369452,-0.0370925028034754,556474.0,0.0069215035576549,CTCF
Lysosomal Lumen Acidification (GO:0007042),16,1.7544660757526548e-05,1.0130005176445511,-0.0370925028034754,173215.0,0.0069215035576549,CTCF
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.783236102450666e-05,0.88974615872536,-0.0370925028034754,173199.0,0.0069215035576549,CTCF
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,2.105134562014428e-05,0.0674520490154003,-0.0370925028034754,173035.0,0.0071495632562415,CTCF
DNA Damage Checkpoint Signaling (GO:0000077),34,2.5556818749588585e-05,0.0530013792518,-0.0370925028034754,355391.0,0.0072494888955225,CTCF
Skeletal Muscle Organ Development (GO:0060538),34,2.6681961337955636e-05,0.0687724565617286,-0.0370925028034754,355328.0,0.0072494888955225,CTCF
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,3.747953340455047e-05,0.0179663920725731,-0.0370925028034754,182685.0,0.0092574447509239,CTCF
Positive Regulation Of DNA Replication (GO:0045740),18,6.958049282927567e-05,-0.009985895354035,-0.0370925028034754,192217.0,0.0151763004997215,CTCF
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,7.261387798909824e-05,-0.0328449194722724,-0.0370925028034754,192169.0,0.0151763004997215,CTCF
RNA Destabilization (GO:0050779),19,0.0001031203115028,0.1757056666141239,-0.0370925028034754,201939.0,0.02001270616808,CTCF
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.0001603024095141,0.704378426419593,-0.0370925028034754,211553.0,0.0290361097766584,CTCF
DNA Integrity Checkpoint Signaling (GO:0031570),42,0.0002263504920182,0.0358406398126999,-0.0370925028034754,431939.0,0.0377861221775323,CTCF
Positive Regulation Of Vacuole Organization (GO:0044090),21,0.0002426758428997,0.4717969028755678,-0.0370925028034754,221147.0,0.0377861221775323,CTCF
Positive Regulation Of Translational Initiation (GO:0045948),21,0.000252858675711,0.0645794034849062,-0.0370925028034754,221093.0,0.0377861221775323,CTCF
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.0002642386166261,0.0074789835247544,-0.0370925028034754,221035.0,0.0377861221775323,CTCF
Cell-Cell Junction Assembly (GO:0007043),70,0.0002899785367471,0.687617682175514,-0.0370925028034754,709161.0,0.0393935842171046,CTCF
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),22,0.0003510208459589,1.095765640535464,-0.0370925028034754,230752.0,0.0428417135474616,CTCF
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.0003582242399743,0.636971978308405,-0.0370925028034754,230724.0,0.0428417135474616,CTCF
Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143),22,0.0003626644871518,0.2827998870872961,-0.0370925028034754,230707.0,0.0428417135474616,CTCF
Regulation Of Lysosomal Lumen pH (GO:0035751),23,0.000503126164624,0.6934069896821086,-0.0370925028034754,240324.0,0.0562550800531959,CTCF
Regulation Of mRNA Catabolic Process (GO:0061013),46,0.0005207480324863,0.0509413219950169,-0.0370925028034754,470140.0,0.0562550800531959,CTCF
Stress Granule Assembly (GO:0034063),23,0.0005383261249109,0.022795291696975,-0.0370925028034754,240226.0,0.0562550800531959,CTCF
Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),25,0.0009551350399847,0.2444128003004035,-0.0370925028034754,259456.0,0.096114885319944,CTCF
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),25,0.0010007219229216,-0.0001061981854379,-0.0370925028034754,259382.0,0.0971057665920806,CTCF
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),25,0.0010515861280461,-0.0249646033494019,-0.0370925028034754,259303.0,0.0985227417207386,CTCF
Regulation Of Cell Development (GO:0060284),51,0.0011411823105314,0.117541544720438,-0.0370925028034754,518040.0,0.1033530779237965,CTCF
Positive Regulation Of Adenylate Cyclase Activity (GO:0045762),26,0.0012611324624549,0.1349972969492243,-0.0370925028034754,269031.0,0.1087740503597145,CTCF
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),26,0.0012811076965443,0.0514282782818958,-0.0370925028034754,269005.0,0.1087740503597145,CTCF
Cellular Response To Ionizing Radiation (GO:0071479),52,0.0013639810994356,0.0137356324178262,-0.0370925028034754,527525.0,0.1123011105202017,CTCF
Vacuolar Acidification (GO:0007035),27,0.0015899019916609,0.5851848426472073,-0.0370925028034754,278650.0,0.1270518738630241,CTCF
Clathrin-Dependent Endocytosis (GO:0072583),27,0.0017034971310236,0.572413975869418,-0.0370925028034754,278531.0,0.1322400487140357,CTCF
Eye Development (GO:0001654),55,0.0020408446727045,0.7828665307826217,-0.0370925028034754,556206.0,0.1540270826593933,CTCF
Positive Regulation Of Calcium Ion Transport (GO:0051928),28,0.0022186882010093,0.0629756447034197,-0.0370925028034754,288057.0,0.1629236714092577,CTCF
Regulation Of Calcium Ion Transport (GO:0051924),56,0.0024393601787567,0.0181818740243816,-0.0370925028034754,565627.0,0.1744142527811094,CTCF
Regulation Of Muscle Contraction (GO:0006937),29,0.0025474488296827,0.5451766834546548,-0.0370925028034754,297784.0,0.1774722684678968,CTCF
Signal Transduction In Response To DNA Damage (GO:0042770),57,0.0026362561546255,0.0166477075452853,-0.0370925028034754,575294.0,0.1790676993029393,CTCF
Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),29,0.0027974781669515,-0.0153989288433883,-0.0370925028034754,297609.0,0.1853841019416448,CTCF
Selective Autophagy (GO:0061912),58,0.0028858925353199,0.2022374780943122,-0.0370925028034754,584919.0,0.18668976234439,CTCF
Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),58,0.003147563911657,-0.0229054436464131,-0.0370925028034754,584687.0,0.1988821197202863,CTCF
Negative Regulation Of DNA Biosynthetic Process (GO:2000279),31,0.0041231748675087,-0.0273119387276096,-0.0370925028034754,316774.0,0.2546060480686622,CTCF
Regulation Of Translational Initiation (GO:0006446),64,0.0054971649155471,0.2582134011203629,-0.0370925028034754,642178.0,0.3302349418200661,CTCF
Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),33,0.0056993454068213,0.3616179092747424,-0.0370925028034754,335975.0,0.3302349418200661,CTCF
Regulation Of Lamellipodium Assembly (GO:0010591),33,0.0057125661632473,-0.0269934370602054,-0.0370925028034754,335970.0,0.3302349418200661,CTCF
Adherens Junction Organization (GO:0034332),34,0.0063525754574125,0.8964580723092427,-0.0370925028034754,345662.0,0.3532204190412243,CTCF
Embryonic Limb Morphogenesis (GO:0030326),34,0.0064361460024442,0.0610725506011013,-0.0370925028034754,345633.0,0.3532204190412243,CTCF
Regulation Of Metal Ion Transport (GO:0010959),34,0.0065001917379687,0.0539434389464525,-0.0370925028034754,345611.0,0.3532204190412243,CTCF
Reticulophagy (GO:0061709),16,6.846028900462052e-11,0.5480554449294469,-0.0314474561084908,182990.0,1.8600660522555397e-07,DNase
Regulation Of Adenylate Cyclase Activity (GO:0045761),17,3.3967591169897577e-10,0.2527358661547459,-0.0314474561084908,192448.0,4.6144972604305866e-07,DNase
Regulation Of Smooth Muscle Contraction (GO:0006940),20,1.0288483678781488e-08,0.0883701426385427,-0.0314474561084908,221175.0,9.317936718416432e-06,DNase
Negative Regulation Of Immune Effector Process (GO:0002698),15,9.544970467052475e-06,0.034868259198007,-0.0314474561084908,163513.0,0.0064834211897453,DNase
Organelle Disassembly (GO:1903008),54,1.5772150505664227e-05,0.1446080196169479,-0.0314474561084908,556472.0,0.0071657649465637,DNase
Lysosomal Lumen Acidification (GO:0007042),16,1.799615531681086e-05,0.5645081237988128,-0.0314474561084908,173190.0,0.0071657649465637,DNase
Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),16,1.8798641217358224e-05,0.2865154526780873,-0.0314474561084908,173147.0,0.0071657649465637,DNase
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),16,2.1938283097792088e-05,-0.022238099129591,-0.0314474561084908,172994.0,0.0071657649465637,DNase
DNA Damage Checkpoint Signaling (GO:0000077),34,2.5749975899462875e-05,0.0210012650503222,-0.0314474561084908,355380.0,0.0071657649465637,DNase
Skeletal Muscle Organ Development (GO:0060538),34,2.637381283240258e-05,0.20940401125152,-0.0314474561084908,355345.0,0.0071657649465637,DNase
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),17,4.038890462107385e-05,-0.0278211175712324,-0.0314474561084908,182606.0,0.0099760594414052,DNase
Positive Regulation Of DNA Replication (GO:0045740),18,6.914822757178135e-05,0.0120016929060987,-0.0314474561084908,192224.0,0.0152709014529192,DNase
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),18,7.306651412880026e-05,-0.0210333003946265,-0.0314474561084908,192162.0,0.0152709014529192,DNase
RNA Destabilization (GO:0050779),19,0.0001011311401488,0.3142546799330024,-0.0314474561084908,201962.0,0.0196266648417376,DNase
Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),20,0.0001671249405186,0.2229228709207718,-0.0314474561084908,211501.0,0.0302718975592785,DNase
DNA Integrity Checkpoint Signaling (GO:0031570),42,0.0002277032666642,0.0110110324486435,-0.0314474561084908,431928.0,0.0378785140385225,DNase
Positive Regulation Of Vacuole Organization (GO:0044090),21,0.0002486629523723,0.1996754215883169,-0.0314474561084908,221115.0,0.0378785140385225,DNase
Positive Regulation Of Translational Initiation (GO:0045948),21,0.0002509434128426,0.104055869882983,-0.0314474561084908,221103.0,0.0378785140385225,DNase
Acetylcholine Receptor Signaling Pathway (GO:0095500),21,0.0002805078111891,-0.0285118487211864,-0.0314474561084908,220956.0,0.0401126170000465,DNase
Cell-Cell Junction Assembly (GO:0007043),70,0.0003056902846219,0.2882836436656217,-0.0314474561084908,709033.0,0.0415280251658944,DNase
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),22,0.0003540913730171,0.5048623662684479,-0.0314474561084908,230740.0,0.0439406965956042,DNase
Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143),22,0.000363716655343,0.2090302030915997,-0.0314474561084908,230703.0,0.0439406965956042,DNase
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),22,0.0003719676193223,0.1997982957362934,-0.0314474561084908,230672.0,0.0439406965956042,DNase
Regulation Of Lysosomal Lumen pH (GO:0035751),23,0.0005118974527214,0.3831303386096332,-0.0314474561084908,240299.0,0.055371009525783,DNase
Regulation Of mRNA Catabolic Process (GO:0061013),46,0.0005258556257492,0.1113505877857744,-0.0314474561084908,470120.0,0.055371009525783,DNase
Stress Granule Assembly (GO:0034063),23,0.0005298661198639,0.0710450829677098,-0.0314474561084908,240249.0,0.055371009525783,DNase
Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),25,0.0009575495941308,0.1801728839875887,-0.0314474561084908,259452.0,0.0963578610093891,DNase
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),25,0.0010515861280461,-0.0185727586033156,-0.0314474561084908,259303.0,0.0986462192551637,DNase
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),25,0.0010529040700771,-0.0260083117759887,-0.0314474561084908,259301.0,0.0986462192551637,DNase
Regulation Of Cell Development (GO:0060284),51,0.0011426751819788,0.1144424086408487,-0.0314474561084908,518037.0,0.1034882823145487,DNase
Positive Regulation Of Adenylate Cyclase Activity (GO:0045762),26,0.0012865348592338,0.1535769338938039,-0.0314474561084908,268998.0,0.1112970702740636,DNase
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),26,0.0013108230580677,0.0036094131257222,-0.0314474561084908,268967.0,0.1112970702740636,DNase
Cellular Response To Ionizing Radiation (GO:0071479),52,0.0013767918004629,-0.0091221090588728,-0.0314474561084908,527503.0,0.1133558582381178,DNase
Vacuolar Acidification (GO:0007035),27,0.0016131772314379,0.3217114060588001,-0.0314474561084908,278625.0,0.1289118393475559,DNase
