Pathway,N_Overlap,P_Value,Effect_Size,Median_Rank,FDR
Regulation Of ERK1 And ERK2 Cascade (GO:0070372),228,1.750367276878698e-19,0.34266742158012564,30581.5,1.360285426602874e-17
Positive Regulation Of MAPK Cascade (GO:0043410),291,1.0511466445682996e-18,0.29663049336285174,31803.0,7.941996870071597e-17
Cilium Assembly (GO:0060271),196,1.1961841126946963e-18,0.36066457388713613,31134.5,8.568280436453331e-17
Supramolecular Fiber Organization (GO:0097435),299,1.1970391786221566e-18,0.29215622240639016,33859.0,8.568280436453331e-17
Inorganic Cation Transmembrane Transport (GO:0098662),275,1.4698659785007373e-18,0.3037917119720598,31991.0,1.0251372978261553e-16
Cytokine-Mediated Signaling Pathway (GO:0019221),255,1.679450128863787e-18,0.31490154585321384,31781.0,1.1420260876273753e-16
Protein-Containing Complex Assembly (GO:0065003),295,3.0277915184480077e-18,0.2905730134395599,32062.0,2.0086812024825807e-16
Cellular Component Assembly (GO:0022607),236,3.2149228514534414e-18,0.32451670447485303,31281.0,2.0820452752269906e-16
Regulation Of Cell Differentiation (GO:0045595),181,8.272480786691818e-18,0.3657794058260576,27927.0,5.232825055767849e-16
Monoatomic Cation Transmembrane Transport (GO:0098655),272,8.968837750199558e-18,0.29819004524886883,33402.5,5.54437242739609e-16
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),236,1.7709009825117557e-17,0.31708613145205256,32907.5,1.0704112605404389e-15
Macromolecule Biosynthetic Process (GO:0009059),175,2.1716860867266385e-17,0.36706913600652,30391.0,1.284127425194882e-15
DNA-templated Transcription (GO:0006351),188,4.4662171588998736e-17,0.35058863005584184,29691.5,2.584704398342054e-15
Central Nervous System Development (GO:0007417),266,4.809696938532176e-17,0.2945410716096527,34293.5,2.7254949318349e-15
Organelle Organization (GO:0006996),375,6.021561128004457e-17,0.24740543529678272,33306.0,3.3049873678064714e-15
Positive Regulation Of Apoptotic Process (GO:0043065),253,6.075344426114837e-17,0.30098476510730143,31666.0,3.3049873678064714e-15
Regulation Of Protein Phosphorylation (GO:0001932),249,6.545642125242175e-17,0.3030612488681921,31670.0,3.4910091334624936e-15
Cilium Organization (GO:0044782),189,7.970225186331075e-17,0.34676372965416136,33383.0,4.169040866696255e-15
Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),237,1.2970156392472902e-16,0.3075452470586254,31524.0,6.656382148589867e-15
Positive Regulation Of Cytokine Production (GO:0001819),305,1.441341588410902e-16,0.27077366073504283,36202.0,7.260090963847506e-15
Proteasomal Protein Catabolic Process (GO:0010498),210,2.0156701637251141e-16,0.3245515536874153,32765.0,9.968405173331472e-15
Cellular Response To Cytokine Stimulus (GO:0071345),293,2.258112798145866e-16,0.2744126273865293,34474.0,1.0967976448137063e-14
Positive Regulation Of Cell Differentiation (GO:0045597),266,2.4991070222291697e-16,0.2875278762038719,29924.0,1.1925563334146215e-14
Sensory Perception Of Smell (GO:0007608),214,3.0190408497919186e-16,0.3195717475263806,30719.0,1.4158260536955204e-14
Sensory Perception Of Light Stimulus (GO:0050953),100,7.740766578425782e-16,0.46055552787107445,24865.5,3.5686245920878183e-14
Regulation Of Cell Growth (GO:0001558),206,9.557730001402632e-16,0.32000331661047443,31807.0,4.3328376006358597e-14
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),276,2.212138644864581e-15,0.27291481005436324,34565.0,9.863962482019115e-14
Positive Regulation Of Programmed Cell Death (GO:0043068),232,3.106555964271533e-15,0.2959845248275518,31878.0,1.3628761649707372e-13
Visual Perception (GO:0007601),100,3.401116939857125e-15,0.44987272890359487,25131.5,1.4684187422875205e-13
Negative Regulation Of Cell Differentiation (GO:0045596),190,3.898437720121124e-15,0.32579455061786855,29697.0,1.6568360310514778e-13
Transcription By RNA Polymerase II (GO:0006366),183,5.006678384132246e-15,0.3305991851734845,30283.0,2.095102339206109e-13
Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),180,5.161810810145933e-15,0.33317064034320687,30970.5,2.1272917278177178e-13
Chromatin Remodeling (GO:0006338),211,5.410582040102737e-15,0.30753350508419697,30637.0,2.1965347983700665e-13
Peptide Biosynthetic Process (GO:0043043),150,6.77028956924728e-15,0.3632840414676545,30106.5,2.708115827698912e-13
Negative Regulation Of Multicellular Organismal Process (GO:0051241),220,9.96349544208677e-15,0.2981468395400163,33459.0,3.9276387829675383e-13
Regulation Of MAPK Cascade (GO:0043408),197,1.2114906727882849e-14,0.3139981810153094,31581.0,4.70750661426305e-13
Protein Polyubiquitination (GO:0000209),213,1.5392852373925404e-14,0.3007731226653235,31747.0,5.896980064377056e-13
Positive Regulation Of Cell Migration (GO:0030335),248,2.692929068486591e-14,0.2761200685543034,33090.0,1.0173287592060454e-12
Negative Regulation Of Protein Phosphorylation (GO:0001933),134,2.880503483723791e-14,0.374986626343076,28699.0,1.073283489825851e-12
Regulation Of Neuron Projection Development (GO:0010975),163,4.062729235425671e-14,0.3380030740311424,30026.0,1.4933275027510573e-12
Regulation Of Autophagy (GO:0010506),229,5.981210737739673e-14,0.2833083605314919,33751.0,2.1691857608869214e-12
mRNA Processing (GO:0006397),197,6.187035123264426e-14,0.3052193517284406,31242.0,2.214307307273584e-12
Protein Localization To Membrane (GO:0072657),182,6.385653887683234e-14,0.3173448366007341,30609.0,2.2557115031816096e-12
"mRNA Splicing, Via Spliceosome (GO:0000398)",198,7.598463830603174e-14,0.30332827773943505,31553.0,2.649720720415466e-12
Modification-Dependent Protein Catabolic Process (GO:0019941),185,7.946548365959475e-14,0.31353119867663215,29628.0,2.736026779165794e-12
Axonogenesis (GO:0007409),182,8.785630016593336e-14,0.3155269447524198,30456.5,2.9871142056417343e-12
Golgi Vesicle Transport (GO:0048193),181,9.916569865736282e-14,0.31570130741544744,32734.0,3.330008646271937e-12
Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),128,1.1418773126187673e-13,0.3743510677008045,28785.5,3.787690597954935e-12
Positive Regulation Of Phosphorylation (GO:0042327),220,1.7555854914161107e-13,0.2834202507830734,31801.5,5.753244020062435e-12
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),224,1.9162969944048806e-13,0.280426798062983,32641.0,6.2051521723586606e-12
Epithelium Development (GO:0060429),151,2.0203394889522947e-13,0.3410899133115053,32175.0,6.465086364647343e-12
Positive Regulation Of Developmental Process (GO:0051094),209,2.092993897911258e-13,0.2898166343416436,31528.0,6.6197016306030495e-12
Positive Regulation Of Protein Modification Process (GO:0031401),206,2.385234748262833e-13,0.29120120870304156,32370.0,7.457285649741271e-12
Inflammatory Response (GO:0006954),228,2.4625723903570223e-13,0.2766602012320566,31647.5,7.61158738837625e-12
Ribosome Biogenesis (GO:0042254),140,2.8044392469140333e-13,0.3520430037075599,26136.5,8.570870507422663e-12
Protein Stabilization (GO:0050821),186,3.177507294146078e-13,0.3047726550444406,32447.5,9.60313315564148e-12
Neuron Projection Development (GO:0031175),175,3.954055581606897e-13,0.3128818495541681,31293.0,1.1818715584583253e-11
Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),165,4.881395019324114e-13,0.32090628641609975,31165.0,1.4431950491914774e-11
Circulatory System Development (GO:0072359),126,5.129202943247555e-13,0.36680510912648967,30900.5,1.50015397910036e-11
Double-Strand Break Repair (GO:0006302),145,6.61862319060405e-13,0.3402735735789426,30171.0,1.915176072174789e-11
Heart Development (GO:0007507),163,7.630271722034134e-13,0.32007293879800025,31202.0,2.184667271992931e-11
Intracellular Monoatomic Cation Homeostasis (GO:0030003),184,8.030825075425082e-13,0.30098372855805244,31049.0,2.2754004380371066e-11
Plasma Membrane Bounded Cell Projection Organization (GO:0120036),119,9.201024982543467e-13,0.3731414773289846,28740.0,2.5800812322183744e-11
Negative Regulation Of Growth (GO:0045926),116,1.0321400266475914e-12,0.3770711533219744,28998.0,2.8647151760014784e-11
Organic Substance Transport (GO:0071702),193,1.0774294369226357e-12,0.2921930592980072,31691.0,2.9602101701308776e-11
Regulation Of Programmed Cell Death (GO:0043067),173,1.0947058047974891e-12,0.3084926314760247,33383.0,2.9719163694901136e-11
Regulation Of Cellular Component Organization (GO:0051128),144,1.103542475435667e-12,0.3380292963838176,30900.0,2.9719163694901136e-11
Dephosphorylation (GO:0016311),127,1.1386529994313746e-12,0.35968811644531873,29337.0,3.036407998483666e-11
Regulation Of Cell Adhesion (GO:0030155),140,1.2153475529703374e-12,0.3421585035302295,31796.0,3.209461499106134e-11
Negative Regulation Of Intracellular Signal Transduction (GO:1902532),216,1.325174579139268e-12,0.2750915846349937,31881.5,3.465841206979624e-11
Positive Regulation Of Signal Transduction (GO:0009967),247,1.370865035973383e-12,0.25711512498722067,35736.0,3.551193236045335e-11
Brain Development (GO:0007420),159,1.4462866049825133e-12,0.31997763199437634,31444.0,3.711226005238147e-11
Membrane Organization (GO:0061024),152,1.7216180078028013e-12,0.32610231891740116,33369.0,4.3764495151622616e-11
Protein Localization To Plasma Membrane (GO:0072659),128,1.9383671148391415e-12,0.35446501560179045,29208.5,4.88181347440969e-11
Positive Regulation Of Protein Metabolic Process (GO:0051247),186,2.096843085159182e-12,0.2936648367436444,35121.5,5.232489166635756e-11
Sensory Organ Development (GO:0007423),70,2.5118412251008844e-12,0.47665239997779574,24727.0,6.211098302067641e-11
Regulation Of RNA Splicing (GO:0043484),96,2.549405723835016e-12,0.4069479325500045,27256.5,6.247192404352471e-11
Protein Localization To Cell Periphery (GO:1990778),134,2.962743124511891e-12,0.34344547959979765,29756.5,7.195233302386021e-11
Regulation Of Cytokine Production (GO:0001817),155,3.010215510212161e-12,0.31926174639130556,34098.0,7.245828484758476e-11
Negative Regulation Of Cell Growth (GO:0030308),118,3.4148959408184786e-12,0.3648834793280621,28998.0,8.147821893882686e-11
Cytoplasmic Translation (GO:0002181),91,3.906531416863336e-12,0.41428262606984234,27333.0,9.239796046841976e-11
Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),191,4.032998712831129e-12,0.28590870646690814,33654.0,9.456686636983337e-11
Neuron Differentiation (GO:0030182),165,4.4868367938396686e-12,0.3068830961602622,31293.0,1.043093681986658e-10
Regulation Of Angiogenesis (GO:0045765),187,4.657718806089184e-12,0.28807115900089353,32938.0,1.073643656996829e-10
Cellular Response To Metal Ion (GO:0071248),127,4.909775621353302e-12,0.34906451417927264,29196.0,1.1222344277378977e-10
Regulation Of Signal Transduction (GO:0009966),185,5.157465795241225e-12,0.2889982109947796,32916.0,1.1690255802546775e-10
RNA Processing (GO:0006396),171,6.657831105755752e-12,0.2989455067065465,32125.0,1.4966364138558384e-10
Protein Dephosphorylation (GO:0006470),117,7.0364904941990695e-12,0.3608822707506918,30687.0,1.5687913232968418e-10
"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",169,7.125801577833652e-12,0.3002687708184668,31524.0,1.5757870155859784e-10
Regulation Of Mitotic Cell Cycle (GO:0007346),120,7.368285240770534e-12,0.35599566042312536,30510.0,1.616269020556117e-10
Cellular Response To Lipid (GO:0071396),214,8.52983157878596e-12,0.2658651580806577,33869.0,1.8484149161134388e-10
Chemical Synaptic Transmission (GO:0007268),270,8.562510273172548e-12,0.23674012547194334,33546.5,1.8484149161134388e-10
Positive Regulation Of GTPase Activity (GO:0043547),224,9.174105831836795e-12,0.25946635452201094,33982.0,1.964847863196542e-10
Apoptotic Process (GO:0006915),220,9.993462896733283e-12,0.2613230199557869,34318.5,2.1236108655558227e-10
Negative Regulation Of Signal Transduction (GO:0009968),250,1.2732716788906095e-11,0.24388305868026794,35001.0,2.6845240567492044e-10
Positive Regulation Of Transferase Activity (GO:0051347),140,1.2830445859463108e-11,0.32566890620571187,29598.0,2.6845240567492044e-10
Defense Response To Bacterium (GO:0042742),191,1.3764603650622813e-11,0.2784590744464951,32771.0,2.8579940404346604e-10
Regulation Of Protein Ubiquitination (GO:0031396),99,1.5385829609992546e-11,0.3856482261672718,27854.0,3.1704133741802825e-10
Regulation Of DNA Metabolic Process (GO:0051052),113,1.7659556195919382e-11,0.35988882745568074,28803.0,3.6115784099925353e-10
Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),160,2.532787890698954e-11,0.3000729230032809,34224.0,5.131900181447249e-10
Phosphate-Containing Compound Metabolic Process (GO:0006796),166,2.5470828106447744e-11,0.29457123003888375,33961.0,5.131900181447249e-10
Protein Glycosylation (GO:0006486),133,3.5013667962262536e-11,0.3266562881921665,30058.0,6.988650363929463e-10
Positive Regulation Of Cell Projection Organization (GO:0031346),109,3.520018749479178e-11,0.3607435501463456,27838.0,6.988650363929463e-10
Generation Of Neurons (GO:0048699),161,4.3472193269495914e-11,0.29545572233059114,31672.0,8.529251813344333e-10
Regulation Of Protein Localization (GO:0032880),93,4.3586985369664055e-11,0.3885886314518915,26983.0,8.529251813344333e-10
Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),105,4.453219764215654e-11,0.3655496133788204,25683.0,8.622570826233438e-10
Axon Guidance (GO:0007411),146,4.4697885533048336e-11,0.310038609563977,29147.0,8.622570826233438e-10
Regulation Of Wnt Signaling Pathway (GO:0030111),101,4.5708475747002127e-11,0.37248449171180875,30374.0,8.75542634027083e-10
Positive Regulation Of Protein Kinase Activity (GO:0045860),143,4.862143744565991e-11,0.31265561765890804,32794.0,9.189146376524477e-10
Cellular Response To Oxidative Stress (GO:0034599),114,4.864842199336488e-11,0.35011719164642063,29224.0,9.189146376524477e-10
Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),88,5.626230959936434e-11,0.3970900647648796,28987.5,1.0554033248984207e-09
Regulation Of Translation (GO:0006417),187,6.16312427326912e-11,0.2719515649379226,35312.0,1.1481984947460279e-09
Cellular Response To Salt (GO:1902075),105,6.411889023265217e-11,0.3624384187355124,29196.0,1.1864175607674414e-09
Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),121,7.253427486727647e-11,0.3366672060091763,30795.0,1.3313972348748337e-09
Positive Regulation Of Epithelial Cell Proliferation (GO:0050679),119,7.293315735159934e-11,0.3394368932006304,29547.0,1.3313972348748337e-09
Nitrogen Compound Transport (GO:0071705),154,8.02408072269142e-11,0.29775514514702617,34162.5,1.4550333043813775e-09
Positive Regulation Of Cell Motility (GO:2000147),202,8.432149848548122e-11,0.2597362534677172,33493.5,1.5189038137782047e-09
Response To Cytokine (GO:0034097),122,8.499966422190631e-11,0.3340194779885982,31717.5,1.5210466229183235e-09
Negative Regulation Of Cell Migration (GO:0030336),151,9.949951573570951e-11,0.2991445789545212,32992.0,1.7688802797459468e-09
Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),148,1.2250064508402198e-10,0.30063643098472437,33459.0,2.16364775732818e-09
Endocytosis (GO:0006897),182,1.3165771252196936e-10,0.2706736284014225,33679.0,2.3103805036113334e-09
Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),170,1.510249242405355e-10,0.2791056115465824,33206.0,2.6332550893221577e-09
Ribosomal Small Subunit Biogenesis (GO:0042274),76,1.6618683261304204e-10,0.4162531157259136,24836.5,2.879160412149518e-09
Neuron Projection Guidance (GO:0097485),122,1.7645739105530003e-10,0.3281246042180247,29985.0,3.037747491584912e-09
Peptidyl-Serine Modification (GO:0018209),160,1.928407237102233e-10,0.2859449325368728,31993.5,3.298910493659166e-09
Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell (GO:0050911),129,2.5810132649160974e-10,0.3160850626581756,30520.0,4.387722550357365e-09
protein-RNA Complex Assembly (GO:0022618),137,2.599975469714244e-10,0.30667297377939173,31866.0,4.392505141380586e-09
Extracellular Matrix Organization (GO:0030198),168,2.807001197084419e-10,0.2764429161745381,34477.5,4.712989664240506e-09
Regulation Of Cell Division (GO:0051302),77,3.114320966421563e-10,0.40707064955769623,28898.0,5.196903698568497e-09
Mitochondrial Gene Expression (GO:0140053),94,3.2444602336916733e-10,0.36807304138295005,28559.5,5.381055997342288e-09
Neuron Projection Morphogenesis (GO:0048812),139,3.381076789232917e-10,0.3024332811961362,32042.0,5.5736538586142635e-09
Ribonucleoprotein Complex Biogenesis (GO:0022613),108,3.7293001540200677e-10,0.34218809007255024,26063.5,6.110660493334087e-09
Protein Localization To Nucleus (GO:0034504),116,3.806201204044918e-10,0.33001736838541385,27616.0,6.199321721558189e-09
Organonitrogen Compound Biosynthetic Process (GO:1901566),113,4.340564444528382e-10,0.33323077476762897,30555.0,7.027580529236428e-09
Eye Development (GO:0001654),58,4.430958684721779e-10,0.4647496333722777,24689.0,7.1314838002622715e-09
Regulation Of DNA Repair (GO:0006282),121,5.058437891444785e-10,0.3207584693525485,28803.0,8.059233219841827e-09
Regulation Of Cell Cycle Process (GO:0010564),125,5.081386594821402e-10,0.3155535529149055,29399.0,8.059233219841827e-09
Negative Regulation Of Protein Metabolic Process (GO:0051248),138,5.096279830194096e-10,0.30031943619013934,33777.5,8.059233219841827e-09
Detection Of Chemical Stimulus Involved In Sensory Perception (GO:0050907),131,5.175073790298864e-10,0.30810437618140396,30520.0,8.136532202088388e-09
Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),87,5.501734620085735e-10,0.37738260914385857,29966.0,8.600412739444367e-09
Negative Regulation Of Response To External Stimulus (GO:0032102),136,5.811834098734128e-10,0.3014754999217063,32431.0,9.033250713461045e-09
Neuron Development (GO:0048666),137,6.966250137675053e-10,0.2989386584771234,34842.0,1.0766022940043262e-08
Peptidyl-Serine Phosphorylation (GO:0018105),156,1.0496378497664036e-09,0.27710147306581323,31737.0,1.6130027973811397e-08
Regulation Of TOR Signaling (GO:0032006),69,1.2185272470721722e-09,0.4147840295538505,24553.0,1.8620191640653418e-08
Epithelial Cell Differentiation (GO:0030855),124,1.2434254197049639e-09,0.3093243952879101,31274.0,1.8894509170935762e-08
Regulation Of RNA Metabolic Process (GO:0051252),86,1.4129687818362455e-09,0.37005598720583777,28743.5,2.135152825885882e-08
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),116,1.511838440795403e-09,0.3180832630703717,34041.5,2.2719340104770695e-08
Protein-Containing Complex Organization (GO:0043933),116,1.5554861257060234e-09,0.3178325162435479,30416.5,2.3246825614947164e-08
Defense Response To Virus (GO:0051607),173,1.6027635704796024e-09,0.2601158375414916,35580.0,2.3822496785270593e-08
Regulation Of Cellular Response To Stress (GO:0080135),99,1.8436096985381182e-09,0.34238677311092547,29856.0,2.725336076099827e-08
Regulation Of BMP Signaling Pathway (GO:0030510),73,2.184779072712888e-09,0.3967743714249993,24289.0,3.212215717718408e-08
Ras Protein Signal Transduction (GO:0007265),138,2.2009881706928194e-09,0.28861270020031415,30141.5,3.218649367894875e-08
Protein Targeting (GO:0006605),124,2.2234264843298352e-09,0.3043612203480526,31157.0,3.234074886297942e-08
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),115,2.541489180333872e-09,0.31483562060599657,28318.0,3.6770481758021976e-08
Cellular Response To Reactive Oxygen Species (GO:0034614),70,2.8178846273296984e-09,0.4022588528671205,26603.5,4.0553683525591423e-08
Protein Localization To Organelle (GO:0033365),127,2.867984976352279e-09,0.2985772451855939,33080.0,4.105746913514842e-08
Activation Of GTPase Activity (GO:0090630),97,3.006966589372847e-09,0.34112820533896093,25461.0,4.265456359522049e-08
RNA Splicing (GO:0008380),93,3.0109103714273288e-09,0.34836699388512116,29582.0,4.265456359522049e-08
Regulation Of Endothelial Cell Proliferation (GO:0001936),86,3.1358798194909172e-09,0.3618309037603593,28169.0,4.4194782948265775e-08
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),135,3.224259336439723e-09,0.2886329211706572,30065.0,4.520611028410334e-08
Epigenetic Regulation Of Gene Expression (GO:0040029),74,3.7099365636998657e-09,0.3881493960706419,28036.5,5.1748858734685306e-08
Negative Regulation Of Wnt Signaling Pathway (GO:0030178),127,3.893871582238601e-09,0.29594791579175417,31605.0,5.4037401549433653e-08
Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),111,3.924004936342663e-09,0.3164632846470057,34125.0,5.41791544510256e-08
Hemopoiesis (GO:0030097),99,3.9578678049616715e-09,0.3349903588497142,31036.0,5.43707092398775e-08
Actin Filament Organization (GO:0007015),137,4.15199839693419e-09,0.28442235337782273,33527.0,5.675093286261807e-08
Cellular Response To Chemical Stress (GO:0062197),88,4.208318161024584e-09,0.3546543019407722,29625.0,5.7026292799908876e-08
Organic Anion Transport (GO:0015711),85,4.214075313522678e-09,0.36083878864045615,29854.0,5.7026292799908876e-08
Vesicle Organization (GO:0016050),85,4.349281085249208e-09,0.3605046706182473,28889.0,5.8560410287166934e-08
Mitochondrial Translation (GO:0032543),93,4.370501208931944e-09,0.34461495466348446,30644.0,5.8560410287166934e-08
Regulation Of Neuron Differentiation (GO:0045664),73,4.6491101118875444e-09,0.3882230325450975,23215.0,6.198813482516726e-08
Peptidyl-Lysine Modification (GO:0018205),80,5.0280392873053035e-09,0.3700050818577678,27822.0,6.67134968852216e-08
Regulation Of Protein Catabolic Process (GO:0042176),112,5.094875982535295e-09,0.31263892349862943,30406.5,6.727214889561167e-08
Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990),83,5.291781675152859e-09,0.36271190347615223,27055.0,6.953452249476221e-08
Negative Regulation Of Cellular Biosynthetic Process (GO:0031327),128,5.742874159066164e-09,0.29143104058459357,34371.5,7.509912361855752e-08
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),166,6.313165757044801e-09,0.2552342188812895,36283.0,8.216177444575051e-08
Protein Autophosphorylation (GO:0046777),158,6.55396139174341e-09,0.2613116998510864,33755.0,8.48894046930575e-08
Potassium Ion Transmembrane Transport (GO:0071805),133,7.1606366552514425e-09,0.28401973789154655,33712.0,9.230773318617973e-08
Endomembrane System Organization (GO:0010256),173,8.051252367827257e-09,0.24819551528473505,34243.0,1.0329908698344404e-07
Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),88,8.118603895379554e-09,0.34776153949987276,29697.5,1.0367419058888444e-07
Regulation Of DNA Replication (GO:0006275),69,9.074626018076702e-09,0.3913635502510183,28456.0,1.153410409774235e-07
Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),107,9.400163987745611e-09,0.3139970806618533,31926.0,1.1892300486822355e-07
Glycoprotein Biosynthetic Process (GO:0009101),77,9.801121232276536e-09,0.3696148411174318,26494.0,1.234215266286675e-07
Protein Secretion (GO:0009306),58,9.953014260344182e-09,0.4256316835057202,25199.5,1.2475667644302385e-07
Regulation Of Inflammatory Response (GO:0050727),229,1.1810587860469111e-08,0.21325450922343536,34872.0,1.4736146321319256e-07
Protein Homooligomerization (GO:0051260),129,1.186637120327467e-08,0.283949312087762,31801.0,1.4738141403153928e-07
Steroid Metabolic Process (GO:0008202),90,1.2209405136469755e-08,0.33958165166870957,33443.5,1.5095264532362606e-07
Mitotic Cell Cycle Phase Transition (GO:0044772),108,1.2587931989168606e-08,0.30972655518898384,29701.5,1.5492839371284437e-07
Cellular Response To Calcium Ion (GO:0071277),66,1.3014022985626624e-08,0.3957082858956906,24760.0,1.594510924365064e-07
Fatty Acid Metabolic Process (GO:0006631),120,1.3263615003167262e-08,0.29336935248595286,31981.5,1.6178041618212983e-07
mRNA Metabolic Process (GO:0016071),80,1.3776904206099432e-08,0.3588030730292855,28526.0,1.672909796454931e-07
Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874),101,1.4079369703528463e-08,0.31914588763931406,34310.0,1.702039359715441e-07
