gene,raw_score,z_score,rank,p_empirical
ADPRS,1.7089058634034715,3.128692514710993,70,0.0014608289160649443
PLEKHO1,1.647402817497286,3.015280862896734,71,0.0014816979005801577
DMAP1,1.6278793036097416,2.9792794921258867,72,0.0015025668850953712
ZBTB48,1.59,2.9094300346127175,73,0.0015234358696105848
S100A1,1.5687877137285378,2.8703145666004004,74,0.0015443048541257983
ASTN1,1.5667261831022858,2.866513102946949,75,0.0015651738386410117
DNAJC11,1.536,2.8098540037391957,76,0.0015860428231562252
BOLA1,1.5221349606466994,2.784286863244624,77,0.0016069118076714388
NOL9,1.512,2.76559799001763,78,0.0016277807921866521
ELAVL4,1.510325179492188,2.7625096200436765,79,0.0016486497767018657
EPB41,1.503850962567747,2.750571160333491,80,0.0016695187612170792
PTPRU,1.4938028099996716,2.732042361253111,81,0.0016903877457322928
SLC27A3,1.4621805336414124,2.673730865569017,82,0.001711256730247506
GATAD2B,1.4073941922676647,2.572704820752728,83,0.0017321257147627197
MECR,1.334146952403948,2.4376368685662513,84,0.0017529946992779332
ENSG00000225616,1.312666709524373,2.398027288415375,85,0.0017738636837931465
CCDC24,1.2556679655717833,2.2929215719788,86,0.00179473266830836
CREB3L4,1.2164698159078975,2.2206401615877627,87,0.0018156016528235736
ENSG00000293562,1.201121065153427,2.192337056421149,88,0.0018364706373387872
S100A13,1.1987039559065829,2.1878799055880296,89,0.0018573396218540005
ENSG00000277916,1.1780563019817971,2.1498056199458024,90,0.001878208606369214
SH3D21,1.1656709375838874,2.126967000914949,91,0.0018990775908844276
SLC6A9,1.1627146303593687,2.121515568702722,92,0.001919946575399641
TRAPPC3,1.1516881723776455,2.1011827738802467,93,0.0019408155599148545
OTUD7B,1.1000746572967794,2.006007422562037,94,0.001961684544430068
ARTN,1.0758802237078515,1.9613928731913246,95,0.0019825535289452814
NEGR1,1.038988182807165,1.8933639286781023,96,0.002003422513460495
TNFSF4,1.035125552405996,1.8862412360099576,97,0.0020242914979757085
TAS1R1,1.035,1.8860097173015187,98,0.002045160482490922
PRPF3,1.0304738222249303,1.8776634428965302,99,0.0020660294670061356
SGIP1,1.014496887515589,1.8482019661579818,100,0.002086898451521349
SLC45A1,0.9953127474402796,1.812826400890927,101,0.0021077674360365623
GDI2P2,0.9899107513392384,1.8028651169921135,102,0.002128636420551776
ENSG00000233514,0.9810292536432448,1.7864876301628656,103,0.0021495054050669894
DARS2,0.97894541005685,1.7826450213981537,104,0.002170374389582203
NUP210L,0.9153907810986563,1.6654502492630368,105,0.0021912433740974165
ENSG00000271853,0.9123181722337736,1.6597843567594845,106,0.00221211235861263
MMEL1,0.8768488389723194,1.5943788859464139,107,0.0022329813431278436
H3C15,0.8534617578809973,1.551253095042876,108,0.0022538503276430567
FAAP20,0.8513345371628791,1.547330498822466,109,0.0022747193121582703
ENSG00000231827,0.8464329861969903,1.538292036038994,110,0.002295588296673484
TNFRSF14-AS1,0.8365451690170944,1.5200588955060856,111,0.0023164572811886974
GAS5-AS1,0.836146151054305,1.5193231061545707,112,0.002337326265703911
NGF,0.823,1.4950815960943584,113,0.0023581952502191245
KLHL20,0.8150107542448346,1.480349422354127,114,0.0023790642347343376
CENPL,0.8038736755123305,1.4598126428039662,115,0.002399933219249551
CIART,0.7936315206958874,1.4409261034666787,116,0.0024208022037647647
RABGAP1L,0.7799728362942812,1.4157394816210114,117,0.0024416711882799783
ENSG00000290792,0.7344110544201335,1.3317235297959595,118,0.002462540172795192
RC3H1,0.7322150154641207,1.3276740327055263,119,0.0024834091573104054
ENSG00000290791,0.7221512777738086,1.3091164946508311,120,0.002504278141825619
ENSG00000229393,0.6858502766429947,1.2421774278111704,121,0.002525147126340832
PRKCZ-AS1,0.6595831733492614,1.1937408743197855,122,0.0025460161108560456
VPS45,0.6527255993824508,1.181095504004293,123,0.002566885095371259
ENSG00000224387,0.6358808359347644,1.150033750576071,124,0.0025877540798864727
ENSG00000291199,0.6231411949632587,1.1265418453409555,125,0.0026086230644016863
CHTOP,0.6207541329457922,1.1221401016159875,126,0.0026294920489169
ENSG00000285649,0.6187006466341026,1.1183534716831884,127,0.0026503610334321134
H3C14,0.6014359186258911,1.0865173033652509,128,0.0026712300179473265
BRINP2,0.582539677267362,1.0516726234965394,129,0.00269209900246254
ENSG00000284738,0.5714137686637306,1.0311564416704064,130,0.0027129679869777536
ENSG00000272449,0.5709795609698152,1.0303557624345758,131,0.002733836971492967
H2BC20P,0.5191579216883233,0.9347966299714212,132,0.0027547059560081807
AGBL4,0.5163886280243178,0.9296900508717016,133,0.0027755749405233942
ZBTB37,0.4810063939526804,0.8644451910144507,134,0.002796443925038608
ENSG00000269896,0.4774099942881034,0.8578134279767943,135,0.002817312909553821
LINC02918,0.4705042447339429,0.8450792218506852,136,0.0028381818940690345
ENSG00000233427,0.4287229451065043,0.768034481449987,137,0.002859050878584248
TEKT2,0.4144527082292651,0.7417201564896083,138,0.0028799198630994616
ENSG00000292993,0.4002239286115642,0.7154822787395209,139,0.002900788847614675
ENSG00000289935,0.3920546780447319,0.700418176023661,140,0.0029216578321298887
MIR8083,0.3805156456498584,0.6791401936902814,141,0.0029425268166451022
ENSG00000231416,0.3771122267841013,0.6728642873559822,142,0.0029633958011603154
ST3GAL3,0.3726315031195544,0.6646018303567852,143,0.002984264785675529
ENSG00000227950,0.37,0.6597493370998126,144,0.0030051337701907425
KLF17,0.3670066739194585,0.6542296420959142,145,0.003026002754705956
ENSG00000285777,0.3434667277933651,0.6108219679808601,146,0.0030468717392211696
COL8A2,0.3373857738460775,0.5996086854253864,147,0.003067740723736383
ENSG00000234080,0.3314803299836611,0.58871904356676,148,0.0030886097082515967
H2BC19P,0.3228549133867934,0.5728137704307102,149,0.00310947869276681
S100A2,0.316984129884266,0.5619880422955356,150,0.0031303476772820233
ENSG00000223599,0.3128295992312959,0.554327085396181,151,0.003151216661797237
OPRD1,0.3086211591177035,0.5465667194206172,152,0.0031720856463124504
LRRIQ3,0.3052103885229438,0.5402772564938341,153,0.003192954630827664
JTB-DT,0.3047771571002725,0.5394783775027359,154,0.0032138236153428775
CAMTA1-DT,0.304,0.5380452993655079,155,0.003234692599858091
ENSG00000228037,0.3013001525906641,0.5330667791991037,156,0.0032555615843733042
MORN1,0.2953509969337696,0.5220965327664682,157,0.0032764305688885178
ENSG00000221083,0.2897765836605529,0.5118173115035869,158,0.0032972995534037313
ENSG00000289610,0.2842581753167925,0.5016413633626425,159,0.003318168537918945
ENSG00000230828,0.2611098978363789,0.45895592645415145,160,0.0033390375224341584
ENSG00000287356,0.251172128622452,0.44063067434193065,161,0.003359906506949372
LINC01765,0.251,0.4403132690637178,162,0.0033807754914645855
ENSG00000282386,0.2421141896516796,0.42392782970111387,163,0.0034016444759797987
ENSG00000272420,0.2405199371674199,0.42098802720865397,164,0.003422513460495012
H4C15,0.2344118589398694,0.40972472746486777,165,0.0034433824450102258
ENSG00000273026,0.2320044954087651,0.4052855477371449,166,0.0034642514295254393
RN7SL431P,0.2249204622824937,0.39222258660213283,167,0.003485120414040653
RC3H1-IT1,0.2219744656206503,0.3867901670733733,168,0.0035059893985558664
H4C14,0.2067514770409761,0.3587189674289861,169,0.00352685838307108
ERI3-IT1,0.2034497906222211,0.3526306557851225,170,0.003547727367586293
RC3H1-DT,0.2024472307671644,0.35078193483920245,171,0.0035685963521015066
RPRD2,0.1914943724800834,0.3305848578957268,172,0.00358946533661672
ANKRD45,0.1749342202247488,0.30004792766892263,173,0.0036103343211319337
MMEL1-AS1,0.1638498788190588,0.2796083957795588,174,0.0036312033056471473
ENSG00000237934,0.1622691775884185,0.27669358180652076,175,0.003652072290162361
ENSG00000288573,0.1518522676968936,0.2574847940108693,176,0.0036729412746775744
Metazoa_SRP,0.1508021554868295,0.25554838649512845,177,0.0036938102591927875
ENSG00000271806,0.148641220190965,0.2515636205740787,178,0.003714679243708001
ENSG00000289426,0.1471684412062782,0.24884781528428151,179,0.0037355482282232146
KRT8P47,0.1470912231264272,0.24870542510088822,180,0.003756417212738428
SLC9C2,0.1440660786614755,0.24312705697794576,181,0.0037772861972536417
LINC02796,0.1439318842278053,0.24287960236553469,182,0.0037981551817688553
ENSG00000286379,0.1437742027904167,0.24258883770483858,183,0.0038190241662840684
DPYD-AS1,0.1417290640339419,0.23881760066862798,184,0.003839893150799282
ENSG00000225750,0.141307167808989,0.23803962378860333,185,0.0038607621353144955
RPL31P12,0.135166669354993,0.22671654112871592,186,0.003881631119829709
ENSG00000285184,0.1325343904511159,0.22186261732500875,187,0.0039025001043449226
ENSG00000289041,0.128398420780667,0.21423588688803522,188,0.003923369088860136
TNNI3K,0.120431396642723,0.1995446898226647,189,0.003944238073375349
AGO3,0.1188976825597489,0.19671652017678723,190,0.003965107057890563
ENSG00000229519,0.103,0.16740118444739815,191,0.003985976042405776
ELAVL4-AS1,0.0957189390332723,0.15397490386193757,192,0.00400684502692099
FPGT-TNNI3K,0.0906266716798496,0.14458475995081443,193,0.0040277140114362035
ENSG00000272161,0.0900111486617888,0.14344973515359621,194,0.004048582995951417
TEX50,0.0892643208451045,0.14207258423264507,195,0.004069451980466631
LINC01714,0.0863109097107871,0.13662649241240446,196,0.004090320964981844
ENSG00000225931,0.0842368040965428,0.13280184047390567,197,0.004111189949497058
FPGT,0.0710882187099548,0.10855584150357181,198,0.004132058934012271
ENSG00000233030,0.0707063345140281,0.1078516468279476,199,0.004152927918527485
ENSG00000237478,0.0647316693260907,0.09683436080548442,200,0.004173796903042698
ENSG00000293245,0.0544592475864078,0.07789200924443807,201,0.004194665887557911
ENSG00000232862,0.0530061661635517,0.07521252626991842,202,0.004215534872073125
MIR6737,0.0492986779521014,0.06837591588831483,203,0.004236403856588338
PRDX6-AS1,0.0413853805566685,0.0537837909668521,204,0.004257272841103552
MIR6079,0.0413769388414897,0.05376822443923599,205,0.004278141825618765
ENSG00000238272,0.0317802135624058,0.0360718575378514,206,0.004299010810133979
PDE4B-AS1,0.029234939282619,0.03137837031071007,207,0.004319879794649192
ENSG00000290790,0.0260429717900266,0.025492380429420085,208,0.004340748779164406
ENSG00000234396,0.0208224734753551,0.015865778552440472,209,0.0043616177636796195
ENSG00000231615,0.0190527986608802,0.012602497182769231,210,0.004382486748194833
RERE-AS1,0.018925636395588,0.012368009892867689,211,0.004403355732710047
LINC01776,0.017028025914792,0.008868815081355444,212,0.00442422471722526
ENSG00000271554,0.0131774939097064,0.0017684318625056583,213,0.004445093701740474
LINC01645,0.0117725695617913,-0.0008222494382898406,214,0.004465962686255687
ENSG00000285867,0.0104765530195651,-0.003212104683128937,215,0.0044868316707709
ENSG00000264207,0.0049622844993719,-0.01338041898704836,216,0.0045077006552861135
SNORA63C,0.004351402777646,-0.014506885231171478,217,0.004528569639801327
RNU1-7P,0.0039853849427333,-0.015181822328014568,218,0.004549438624316541
DPYD-IT1,0.0037811975551425,-0.015558343987472443,219,0.004570307608831754
ENSG00000284720,0.0031326741460826,-0.016754221524560412,220,0.004591176593346968
ENSG00000233645,0.0022919329383796,-0.018304548792243303,221,0.004612045577862181
RPS27P7,0.0022707431075769,-0.018343622852358382,222,0.004632914562377395
SEC63P1,0.0013144324625145,-0.02010706022860674,223,0.004653783546892608
